total_mass_source chirp_mass_source mass_ratio chi_eff
2.7299 1.1866 1.0998 0.0100
2.7400 1.1915 1.0834 -0.0041
2.7264 1.1867 1.0024 0.0042
2.7272 1.1866 1.0556 -0.0003
2.7412 1.1879 0.8412 0.0065
2.7285 1.1874 1.0372 0.0036
2.7534 1.1900 1.2434 -0.0035
2.7328 1.1882 1.0906 0.0014
2.7331 1.1873 1.1224 0.0081
2.7254 1.1861 1.0340 0.0069
2.7316 1.1883 1.0666 -0.0058
2.7339 1.1870 1.1381 -0.0006
2.7330 1.1892 1.0476 0.0033
2.7362 1.1899 0.9255 0.0004
2.7276 1.1866 1.0640 -0.0014
2.7335 1.1891 1.0640 0.0002
2.7278 1.1855 0.9026 0.0069
2.7298 1.1880 1.0347 0.0050
2.7405 1.1898 1.1396 0.0058
2.7286 1.1876 0.9764 0.0018
2.7349 1.1904 1.0045 0.0037
2.7476 1.1884 0.8140 0.0030
2.7447 1.1868 1.2340 0.0002
2.7361 1.1897 1.0875 0.0014
2.7243 1.1858 1.0089 0.0023
2.7576 1.1874 1.3081 0.0174
2.7509 1.1895 1.2344 0.0171
2.7280 1.1857 0.9056 0.0081
2.7297 1.1875 1.0621 0.0064
2.7395 1.1879 1.1720 0.0016
2.7363 1.1909 1.0281 -0.0004
2.7331 1.1896 0.9872 0.0061
2.7332 1.1887 0.9294 0.0096
2.7366 1.1910 0.9664 0.0038
2.7535 1.1877 0.7819 0.0198
2.7293 1.1873 1.0661 0.0035
2.7367 1.1898 1.0914 0.0027
2.7491 1.1854 1.2852 0.0053
2.7300 1.1870 1.0881 0.0044
2.7573 1.1915 0.8026 0.0153
2.7355 1.1897 1.0751 -0.0003
2.7359 1.1901 1.0686 -0.0007
2.7401 1.1905 0.8949 0.0021
2.8119 1.1867 0.6339 0.0245
2.7640 1.1882 1.3340 0.0132
2.7463 1.1897 0.8370 0.0028
2.7300 1.1878 1.0549 0.0017
2.7328 1.1857 1.1575 0.0029
2.7333 1.1889 1.0698 -0.0008
2.7298 1.1873 0.9316 0.0029
2.7434 1.1852 0.7996 0.0111
2.7399 1.1899 1.1298 0.0047
2.7554 1.1920 0.8173 0.0127
2.7372 1.1910 1.0484 -0.0026
2.7603 1.1874 0.7552 0.0122
2.7375 1.1878 0.8637 0.0016
2.7300 1.1883 0.9881 0.0055
2.7294 1.1880 0.9927 -0.0025
2.7238 1.1855 1.0216 0.0066
2.7678 1.1894 0.7460 0.0102
2.7306 1.1881 0.9510 0.0088
2.7383 1.1907 0.9220 0.0011
2.7506 1.1884 1.2504 0.0096
2.7507 1.1907 0.8249 0.0128
2.7485 1.1877 1.2466 -0.0043
2.7556 1.1890 1.2730 0.0012
2.7272 1.1866 0.9513 -0.0014
2.7333 1.1867 0.8782 0.0016
2.7223 1.1849 0.9871 -0.0091
2.7296 1.1872 1.0740 -0.0021
2.7403 1.1923 1.0548 0.0004
2.7355 1.1883 0.8902 0.0001
2.7661 1.1864 0.7302 0.0118
2.7322 1.1847 0.8523 0.0087
2.7334 1.1889 1.0741 -0.0004
2.7302 1.1875 1.0707 0.0002
2.7298 1.1860 0.8956 0.0116
2.7339 1.1899 0.9764 -0.0081
2.7579 1.1853 1.3382 0.0104
2.7391 1.1862 0.8310 0.0111
2.7326 1.1894 1.0133 -0.0025
2.7584 1.1885 0.7703 0.0129
2.7289 1.1866 1.0883 0.0135
2.7281 1.1854 1.1146 0.0005
2.7569 1.1881 1.2953 -0.0013
2.7417 1.1918 0.9110 -0.0018
2.7528 1.1879 0.7864 0.0037
2.7249 1.1857 1.0449 -0.0022
2.7291 1.1879 0.9969 0.0007
2.7562 1.1889 1.2788 0.0132
2.7382 1.1895 1.1215 0.0042
2.7258 1.1860 1.0541 0.0039
2.7414 1.1906 1.1304 0.0113
2.7308 1.1859 0.8829 -0.0004
2.7321 1.1877 1.0984 0.0051
2.7557 1.1921 1.2255 -0.0024
2.7341 1.1894 1.0630 -0.0059
2.7437 1.1872 1.2198 0.0012
2.7277 1.1872 1.0154 -0.0017
