total_mass_source chirp_mass_source mass_ratio chi_eff
3.2738 1.4245 0.9533 0.0071
3.3111 1.4412 0.9883 0.0130
3.2765 1.4235 0.8944 0.0112
3.2749 1.4255 0.9961 -0.0007
3.2902 1.4281 0.8710 0.0241
3.3429 1.4547 0.9605 0.0150
3.3274 1.4422 0.8448 0.0146
3.3497 1.4575 0.9525 0.0241
3.2917 1.4305 0.9023 -0.0000
3.3437 1.4515 0.8739 0.0024
3.3210 1.4344 0.7971 0.0251
3.3311 1.4451 0.8606 0.0009
3.3167 1.4356 0.8246 0.0056
3.2860 1.4201 0.8032 0.0190
3.3852 1.4478 0.7092 0.0180
3.2559 1.4166 0.9480 0.0147
3.3371 1.4450 0.8292 0.0043
3.2959 1.4340 0.9478 0.0073
3.2894 1.4307 0.9314 0.0194
3.2832 1.4231 0.8461 0.0171
3.3117 1.4372 0.8680 0.0053
3.2829 1.4271 0.9113 0.0017
3.3361 1.4491 0.8894 0.0178
3.2882 1.4313 0.9904 0.0113
3.3101 1.4228 0.7485 0.0136
3.3316 1.4365 0.7780 0.0199
3.3187 1.4445 0.9810 0.0137
3.3242 1.4463 0.9468 0.0034
3.2714 1.4226 0.9227 0.0106
3.3534 1.4485 0.7970 0.0112
3.2675 1.4188 0.8811 0.0148
3.3026 1.4308 0.8382 0.0173
3.3195 1.4355 0.8113 0.0279
3.2983 1.4337 0.9078 0.0121
3.3181 1.4441 0.9711 -0.0057
3.3120 1.4416 0.9939 0.0073
3.3408 1.4482 0.8470 0.0050
3.2705 1.4225 0.9321 0.0012
3.3394 1.4335 0.7371 0.0250
3.3091 1.4403 0.9862 0.0061
3.2893 1.4301 0.9165 0.0124
3.3279 1.4482 0.9607 0.0055
3.2828 1.4270 0.9107 0.0142
3.2928 1.4318 0.9211 0.0181
3.2824 1.4215 0.8320 0.0110
3.3168 1.4415 0.9030 0.0118
3.2844 1.4190 0.8001 0.0229
3.3490 1.4571 0.9499 0.0110
3.3382 1.4529 0.9786 0.0110
3.3174 1.4390 0.8598 0.0110
3.3107 1.4373 0.8756 0.0127
3.3651 1.4647 0.9858 0.0080
3.3222 1.4258 0.7355 0.0121
3.3495 1.4349 0.7214 0.0216
3.2969 1.4347 0.9618 0.0051
3.3507 1.4584 0.9801 0.0113
3.2994 1.4358 0.9625 0.0019
3.3433 1.4552 0.9818 0.0049
3.2533 1.4112 0.8592 0.0171
3.3226 1.4426 0.8788 0.0006
3.3165 1.4375 0.8457 0.0035
