m1_source m2_source chi_1 cos_tilt_1 chi_2 cos_tilt_2 m_tot_source m_chirp_source q chi_eff lambda_1 lambda_2 ra dec D_L cos_theta_jn
1.6911 1.6391 0.0116 0.6320 0.0259 -0.9660 3.3302 1.4494 0.9693 -0.0086 300.1078 204.0943 4.9067 -0.4650 115.0777 0.9761
1.6650 1.5852 0.0139 -0.2839 0.0092 0.2756 3.2502 1.4142 0.9521 -0.0008 51.7866 461.0287 1.3524 -0.6958 235.2762 -0.8790
1.7512 1.5991 0.0468 -0.3731 0.0249 0.5639 3.3503 1.4565 0.9131 -0.0024 235.1360 51.8007 4.4208 -0.2826 92.5814 0.4155
1.7635 1.5485 0.0278 0.7596 0.0199 0.9260 3.3120 1.4380 0.8781 0.0199 623.9219 124.6422 1.4078 0.0954 154.9749 0.7125
1.6865 1.5803 0.0383 0.9588 0.0367 -0.6165 3.2667 1.4210 0.9370 0.0080 68.5162 427.3434 1.0542 -1.0704 211.2404 -0.9484
1.7896 1.5261 0.0314 0.2448 0.0103 0.8131 3.3157 1.4378 0.8527 0.0080 456.2654 1846.8915 1.0178 -0.8352 154.2423 -0.6499
1.7556 1.5944 0.0136 -0.5327 0.0433 0.9918 3.3500 1.4561 0.9082 0.0167 247.2827 1097.3391 6.2620 -1.0638 94.7700 -0.6225
1.7544 1.5419 0.0265 0.7170 0.0346 0.9799 3.2963 1.4312 0.8789 0.0260 888.6016 1249.0836 3.7751 0.6073 178.0501 -0.9250
1.7281 1.6074 0.0342 0.4830 0.0419 0.5515 3.3355 1.4507 0.9301 0.0197 666.5527 1463.0329 4.5120 0.6984 112.9373 0.3115
1.7856 1.5144 0.0038 -0.8239 0.0257 0.4073 3.3000 1.4306 0.8481 0.0031 125.8174 1096.5939 4.0503 0.7497 177.9795 -0.8759
1.6981 1.6210 0.0235 0.9248 0.0297 0.1131 3.3191 1.4443 0.9546 0.0127 6.8532 4739.2158 4.1859 0.6544 132.4184 -0.3583
1.6817 1.6502 0.0377 0.1512 0.0346 0.5521 3.3319 1.4502 0.9813 0.0123 1657.4417 914.1219 4.2830 -0.4898 114.1661 0.8215
1.6635 1.6041 0.0186 0.8291 0.0343 0.3930 3.2675 1.4220 0.9643 0.0145 604.4889 72.1276 4.2828 0.3120 209.0869 0.9075
1.8149 1.4956 0.0251 0.4879 0.0008 0.9943 3.3106 1.4330 0.8241 0.0071 328.4369 1717.7269 0.4238 -0.0141 170.3922 0.9112
1.7830 1.5151 0.0209 0.0153 0.0470 0.5225 3.2981 1.4299 0.8497 0.0114 144.1868 169.7662 3.7696 0.5855 181.4854 0.9369
1.6837 1.6487 0.0041 0.0238 0.0192 0.6290 3.3325 1.4505 0.9792 0.0060 730.1299 366.7665 1.2755 -0.4646 112.6688 -0.3835
1.7180 1.5930 0.0279 0.4886 0.0194 0.4439 3.3110 1.4400 0.9272 0.0112 1610.8156 179.8615 3.3944 0.8094 147.2493 -0.7043
1.7000 1.5936 0.0183 0.9143 0.0281 0.7667 3.2936 1.4327 0.9374 0.0191 289.9426 2931.7590 0.8491 -0.6703 172.4968 0.8049
1.6959 1.6124 0.0354 0.0491 0.0377 0.4588 3.3083 1.4395 0.9507 0.0093 42.5624 1630.9203 3.3915 0.7754 148.8945 0.9427
1.6696 1.6011 0.0315 0.6370 0.0026 -0.8201 3.2708 1.4233 0.9590 0.0092 169.5624 334.0230 4.4735 -0.1134 204.2061 0.9820
1.9993 1.4106 0.0460 0.5647 0.0001 -0.9413 3.4099 1.4575 0.7055 0.0152 456.6303 1759.3049 1.6879 0.2556 89.3154 -0.5927
1.6805 1.5807 0.0486 0.3323 0.0274 -0.3947 3.2612 1.4187 0.9406 0.0031 988.0456 1139.4192 0.8653 -0.2262 219.7904 -0.8962
1.7984 1.4668 0.0279 0.6817 0.0276 0.1465 3.2652 1.4125 0.8156 0.0123 676.4753 1906.1984 4.0784 0.5375 242.0263 0.9987
